"campaignid","sample","count","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","family","genus","species","caab_code"
"2021-06-ApolloMP_stereoBRUVs","APO_012",1,"Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,11168901
"2021-06-ApolloMP_stereoBRUVs","APO_012",1,"Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+07
"2021-06-ApolloMP_stereoBRUVs","APO_013",8,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_013",8,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
"2021-06-ApolloMP_stereoBRUVs","APO_013",2,"Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000
"2021-06-ApolloMP_stereoBRUVs","APO_013",2,"Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,11168901
"2021-06-ApolloMP_stereoBRUVs","APO_014",12,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_014",2,"Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000
"2021-06-ApolloMP_stereoBRUVs","APO_015",20,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_015",4,"Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000
"2021-06-ApolloMP_stereoBRUVs","APO_015",1,"Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+07
"2021-06-ApolloMP_stereoBRUVs","APO_016",15,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_016",3,"Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000
"2021-06-ApolloMP_stereoBRUVs","APO_016",1,"Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+07
"2021-06-ApolloMP_stereoBRUVs","APO_017",12,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_017",3,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
"2021-06-ApolloMP_stereoBRUVs","APO_017",2,"Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000
"2021-06-ApolloMP_stereoBRUVs","APO_017",1,"Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,11168901
"2021-06-ApolloMP_stereoBRUVs","APO_018",20,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_018",4,"Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000
"2021-06-ApolloMP_stereoBRUVs","APO_018",1,"Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+07
"2021-06-ApolloMP_stereoBRUVs","APO_019",5,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_019",12,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
